,MAX MINT FOR PARTNERSHIP ORB IS 3,UWU ORB,KGF ORB,LAMP ORB,KAIJU ORB,CAPS ORB,ASUNA ORB,MURI ORB,HAUS ORB,*SORTED BY GOOGLE SHEETS COLUMN RANGE OF ORBS
1,0x34009d8d08e00f4f95fcc6d958c47be380dee42f,0,0,0,0,0,0,0,1,
1,0x94833447381805ecdbd6d29a949e6eaa4b02cb2d,0,0,0,0,0,0,0,1,
1,0x6299aed920679c4a680fb53a0e63b8f878208878,0,0,0,0,0,0,0,1,
1,0x0c6bf35e8cc43ec80a3814bff2db2817676446f7,0,0,0,0,0,0,0,1,
1,0x28f9bd834ae8bdaf4acb0c6ae734129658d265f2,0,0,0,0,0,0,0,1,
1,0xe29ab584ac9a1f5db6e5bf631ca0ee7c3b6169e1,0,0,0,0,0,0,0,1,
1,0x483d9ad9d675bcbae802a79977fc8f43e31c1723,0,0,0,0,0,0,0,1,
1,0x2fe9e404687fa844346de4bba4fe7732f5af0283,0,0,0,0,0,0,0,1,
1,0x6e726745b61c9c78b6259fc550f23490ce9f3a52,0,0,0,0,0,0,0,1,
1,0xc8cff5310a7758d6a69bf4e67ae1170035997b67,0,0,0,0,0,0,0,1,
1,0xa6e481251899b4ad75ee3256f0605e8509582cc1,0,0,0,0,0,0,0,1,
1,0x4e84cd0df82e1d2b9c7a96394aca9410c8f31ba2,0,0,0,0,0,0,0,1,
1,0xfbf25d8da4f1ce86b9a522dfcaae12be93de7f20,0,0,0,0,0,0,0,1,
1,0x662b4c90ab3f14497f73f2bd928c5d9af82e21aa,0,0,0,0,0,0,0,1,
1,0x3c382d39bc6441695b3c0eaa9d418003bd0af408,0,0,0,0,0,0,0,1,
1,0x052773b7c17844159e431bc26f43da2dd44e987b,0,0,0,0,0,0,0,1,
1,0xc64cc0edb43bdf8555ece2c199a089be781e8a89,0,0,0,0,0,0,0,1,
1,0x77490c2c7dfde998e90c3224b636dea3cae7babe,0,0,0,0,0,0,0,1,
1,0x44c2a80f8b924858db469a5b35128908e55c531f,0,0,0,0,0,0,0,1,
1,0x8138a9c510d97ac0845177c0fbdefe3cce09d580,0,0,0,0,0,0,0,1,
1,0x2893be74523a83c5afd23fec83f20b364f49d275,0,0,0,0,0,0,0,1,
1,0x1994bce3888fb911f06ffb697011b93a95d9cb29,0,0,0,0,0,0,0,1,
1,0xd335e1b1edb5b92df2d1c1112d1be08f34d912bd,0,0,0,0,0,0,0,1,
1,0x1634dff73e320d2fab02566c646aa78b2553462d,0,0,0,0,0,0,0,1,
1,0xa2b1861a76d25a308e5ac5be72136fc892ad8d97,0,0,0,0,0,0,0,1,
1,0x772d480fca2f4a31d60171fa74af412779d0027c,0,0,0,0,0,0,0,1,
1,0xbe3bf2f6a3e0b56e29d03c38c1569a33ccb30ddd,0,0,0,0,0,0,0,1,
1,0x163f36e985f1d4ba45bd54e80ccd5ae685bbe502,0,0,0,0,0,0,0,1,
1,0x893237e371cfa5283bdf2686599b24d4bdbd2883,0,0,0,0,0,0,0,1,
1,0x3b6216252868b61b16214acd21b37f0bc9be925e,0,0,0,0,0,0,0,1,
1,0xdfc331de4cf03b4f53cfe203abd38baaafb5813f,0,0,0,0,0,0,0,1,
1,0x56cae77437bdf08d3835baf2723ca8cb2af5f2e0,0,0,0,0,0,0,0,1,
1,0x9128a39fdb22de4ce3594e2e2e8edd7bd9aba987,0,0,0,0,0,0,0,1,
1,0xd79a9865f5866760b77d7f82e35316662dec6793,0,0,0,0,0,0,0,1,
1,0x7d2af347cbe241cdc512264c238e0c40ba1b8656,0,0,0,0,0,0,0,1,
1,0x1e5dd57e6a79286464e0d945fefd09f9467088a4,0,0,0,0,0,0,0,1,
1,0xe56507aa1f25588c88aa44d52a1dc29e6dad3322,0,0,0,0,0,0,0,1,
1,0x948ade8e848ad86291f81c0c6ea284bec78de15f,0,0,0,0,0,0,0,1,
1,0x12353665f02daa319f81c9d13f86fee92ae2da7e,0,0,0,0,0,0,0,1,
1,0x3d5b5c7a58598de147796b3478d1440bee7a2885,0,0,0,0,0,0,0,1,
1,0xd0360eaa75e86c43e1fb7c08ac6f1ee6caa0da5d,0,0,0,0,0,0,0,1,
1,0xbcc3a0911e2b801a461aba9fa6ffdcdd68248d56,0,0,0,0,0,0,0,1,
1,0x25328855637d7454ec2a0a28b30943b93f82546a,0,0,0,0,0,0,0,1,
